# h     k     l
0.00000000 0.00000000 1.00000000
0.70710678 0.00000000 0.70710678
0.57735027 0.57735027 0.57735027
0.38268343 0.00000000 0.92387953
0.32505758 0.32505758 0.88807383
0.67388734 0.30290545 0.67388734
0.18736555 0.00000000 0.98229026
0.15734418 0.15734418 0.97492852
0.35942656 0.16155855 0.91908181
0.09136365 0.00000000 0.99581760
0.07575568 0.07575568 0.99424451
0.17312302 0.07781702 0.98182123
0.04497272 0.00000000 0.99898822
0.03701264 0.03701264 0.99862913
0.08368237 0.03761437 0.99578232
0.13892631 0.00000000 0.99030272
0.18044666 0.03860454 0.98282689
0.13159284 0.03814849 0.99056954
0.16541366 0.11746058 0.97920444
0.11597804 0.11597804 0.98645739
0.12393528 0.07686517 0.98930874
0.28548598 0.00000000 0.95838289
0.37249328 0.07969075 0.92460702
0.27309480 0.07916962 0.95872384
0.33440007 0.00000000 0.94243121
0.37794428 0.03947935 0.92498622
0.32905923 0.03941552 0.94348632
0.23634296 0.00000000 0.97166970
0.22990027 0.03897289 0.97243353
0.27957293 0.03924533 0.95932204
0.31645233 0.12018730 0.94096383
0.36632048 0.12045097 0.92265967
0.32307733 0.07953921 0.94302415
0.34353569 0.24394540 0.90690345
0.24177709 0.24177709 0.93972745
0.25847453 0.16030697 0.95262406
0.33459817 0.28477324 0.89830299
0.28383185 0.28383185 0.91590336
0.29284821 0.24320434 0.92471162
0.35182366 0.20279810 0.91383425
0.30919200 0.16115848 0.93724503
0.30131446 0.20223832 0.93183113
0.20771658 0.15902524 0.96517604
0.19943828 0.19943828 0.95940020
0.25037036 0.20110893 0.94703214
0.22297188 0.07859100 0.97165168
0.21557050 0.11867377 0.96925017
0.26605718 0.11958998 0.95651023
0.56209665 0.00000000 0.82707155
0.69915202 0.14957572 0.69915202
0.54714296 0.15861562 0.82187327
0.63954552 0.00000000 0.76875323
0.70518574 0.07366238 0.70518574
0.63598488 0.07617982 0.76793220
0.67459082 0.00000000 0.73819186
0.70663615 0.03647875 0.70663615
0.67373386 0.03712763 0.73804080
0.60201403 0.00000000 0.79848551
0.60022468 0.03823833 0.79891687
0.63824806 0.03771776 0.76890623
0.66904044 0.11341630 0.73452137
0.70270450 0.11141258 0.70270450
0.67190021 0.07498182 0.73683637
0.47580997 0.00000000 0.87954811
0.46796682 0.07933013 0.88017827
0.55652482 0.07812273 0.82714990
0.42994295 0.00000000 0.90285606
0.42582052 0.03943528 0.90394786
0.47230442 0.03928438 0.88055964
0.51995452 0.00000000 0.85419395
0.55976946 0.03867896 0.82774518
0.51705168 0.03903028 0.85506385
0.55232468 0.11816366 0.82521197
0.50857573 0.11921645 0.85272397
0.51326945 0.07882686 0.85459979
0.61652362 0.23415314 0.75171200
0.68873561 0.22646528 0.68873561
0.62838587 0.15470389 0.76236337
0.64677767 0.26952344 0.71346742
0.68185897 0.26483334 0.68185897
0.65398779 0.23051137 0.72053069
0.58323717 0.19706676 0.78803496
0.58901977 0.15683455 0.79275383
0.62299298 0.19440944 0.75768379
0.66511622 0.15226851 0.73105042
0.69450036 0.18798535 0.69450036
0.66010226 0.19136229 0.72639210
0.59748920 0.07723393 0.79814885
0.63270923 0.11523224 0.76576796
0.59376461 0.11682570 0.79611265
0.63191927 0.44872717 0.63191927
0.47203254 0.47203254 0.74456065
0.51657910 0.32038448 0.79404019
0.60585429 0.51563666 0.60585429
0.53028977 0.53028977 0.66150246
0.55670386 0.46233095 0.69016731
0.59185839 0.54718123 0.59185839
0.55518954 0.55518954 0.61929730
0.56924351 0.52345108 0.63400378
0.61923982 0.48278784 0.61923982
0.59556088 0.45595404 0.66137218
0.58273328 0.49034193 0.64806383
0.51546676 0.46772934 0.71799950
0.50257149 0.50257149 0.70345134
0.54380185 0.49698073 0.67623199
0.65480433 0.37744214 0.65480433
0.60040756 0.31294720 0.73591767
0.58030156 0.38949081 0.71522514
0.66485327 0.34050000 0.66485327
0.63849282 0.30820470 0.70522109
0.62917008 0.34636459 0.69582798
0.64380187 0.41356777 0.64380187
0.60763256 0.42040171 0.67382866
0.61886144 0.38382041 0.68534109
0.54991875 0.35608864 0.75550662
0.55971779 0.31703694 0.76563932
0.59082714 0.35159622 0.72615659
0.42393193 0.32455703 0.84554388
0.40296182 0.40296182 0.82173203
0.49580882 0.39825634 0.77172891
0.37507641 0.32527851 0.86805045
0.36492666 0.36492666 0.85653784
0.41378161 0.36421784 0.83434414
0.47121851 0.32291180 0.82078078
0.50660808 0.35974344 0.78353871
0.46112874 0.36247543 0.80992089
0.48425568 0.43574018 0.75870082
0.43876422 0.43876422 0.78420145
0.45028557 0.40115439 0.79769547
0.56890025 0.42645513 0.70319878
0.52771560 0.43160534 0.73159625
0.53922722 0.39433814 0.74413133
0.45670602 0.16097537 0.87493231
0.42092217 0.07962048 0.90359565
0.40873776 0.16149699 0.89824950
0.41523009 0.12037435 0.90171724
0.50295034 0.16000693 0.84937550
0.46277187 0.11995938 0.87832337
0.44197326 0.24331081 0.86339996
0.38458227 0.28489114 0.87802820
0.40145099 0.20277393 0.89315163
0.39338856 0.24398120 0.88640770
0.48049031 0.28266560 0.83019830
0.43334722 0.28418249 0.85524880
0.53379997 0.23993761 0.81085605
0.60898675 0.27373330 0.74444961
0.52565933 0.28037889 0.80316247
0.56856471 0.27737823 0.77446465
0.54096722 0.19927749 0.81709421
0.57641435 0.23731800 0.78193776
0.44976870 0.20216642 0.86996371
0.49638657 0.20099114 0.84451343
0.48889227 0.24195152 0.83811921
0.01234071 0.01234071 0.99984770
